word,font_color,con_label,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,text_2.started,Welcome.stopped,trial.started,text.started,key_resp.started,text.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,Thanks.started,text_3.started,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.008154099981766194,0.026507799979299307,1.011482200003229,,,,,,,,,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,blue,congruent,b,0,0,0,b,0.9411978999851272,None,0,0,0,1,1.0755021999939345,,,,,1.0568869999842718,2.02432869997574,2.02432869997574,2.327707599964924,3.107138399966061,b,0.9411978999851272,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,red,incongruent,r,1,1,0,b,0.5233788000186905,None,0,1,1,3,3.124329999962356,,,,,3.107792900002096,4.110187999962363,4.110187999962363,4.408666700008325,4.6420830999850295,b,0.5233788000186905,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,blue,incongruent,b,2,2,0,b,1.05239760002587,None,0,2,2,2,4.657495499996003,,,,,4.6491773999878205,5.659463699965272,5.659463699965272,5.958974399953149,6.726307799981441,b,1.05239760002587,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,red,congruent,r,3,3,0,r,0.5630202000029385,None,0,3,3,0,6.7416747999959625,,,,,6.727382599958219,7.741580199974123,7.741580199974123,8.041144499962684,8.308648400008678,r,0.5630202000029385,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,blue,congruent,b,4,0,1,b,0.42859510000562295,None,1,0,4,1,8.323794599971734,,,,,8.313656199956313,9.307237899978645,9.307237899978645,9.607631399994716,9.74165159999393,b,0.42859510000562295,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,red,congruent,r,5,1,1,r,0.3477324999985285,None,1,1,5,0,9.756548699981067,,,,,9.746099299984053,10.740637099952437,10.740637099952437,11.038887800008524,11.091514899977483,r,0.3477324999985285,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,blue,incongruent,b,6,2,1,b,0.5617791999829933,None,1,2,6,2,11.107285299978685,,,,,11.092246199958026,12.10760059999302,12.10760059999302,12.40540799999144,12.674241599976085,b,0.5617791999829933,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,red,incongruent,r,7,3,1,b,0.80144199996721,None,1,3,7,3,12.68861889996333,,,,,12.678587300004438,13.689316999982111,13.689316999982111,13.989777099981438,14.506653199961875,b,0.80144199996721,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,blue,incongruent,b,8,0,2,b,0.9642131000291556,None,2,0,8,2,14.521284399961587,,,,,14.511171399964951,15.505269399960525,15.505269399960525,15.80514079995919,16.47115409997059,b,0.9642131000291556,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,blue,congruent,b,9,1,2,b,0.9096527000074275,None,2,1,9,1,16.487280500005,,,,,16.47583399998257,17.485708499967586,17.485708499967586,17.790133700007573,18.411874899989925,b,0.9096527000074275,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,red,congruent,r,10,2,2,r,0.8695049999514595,None,2,2,10,0,18.436282099981327,,,,,18.421129099966493,19.41886449995218,19.41886449995218,19.718536000000313,20.3026314000017,r,0.8695049999514595,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,red,incongruent,r,11,3,2,b,0.6719438000000082,None,2,3,11,3,20.319274999957997,,,,,20.30687470000703,21.302082899957895,21.302082899957895,21.60209289996419,21.985387599968817,b,0.6719438000000082,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,red,incongruent,r,12,0,3,r,0.793473300000187,None,3,0,12,3,22.00300349999452,,,,,21.986104299954604,23.000844199967105,23.000844199967105,23.301107899984345,23.80255009996472,r,0.793473300000187,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,red,congruent,r,13,1,3,r,0.6689997999928892,None,3,1,13,0,23.818525999959093,,,,,23.806921699957456,24.80270549998386,24.80270549998386,25.120851299958304,25.487028899951838,r,0.6689997999928892,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,blue,incongruent,b,14,2,3,b,0.4262295999797061,None,3,2,14,2,25.50222899997607,,,,,25.488112099992577,26.501010599953588,26.501010599953588,26.801946599967778,26.93547139997827,b,0.4262295999797061,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,blue,congruent,b,15,3,3,b,0.4960431999643333,None,3,3,15,1,26.95044049998978,,,,,26.940396299993154,27.9347010999918,27.9347010999918,28.2336207999615,28.43545930000255,b,0.4960431999643333,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,red,incongruent,r,16,0,4,r,0.5953994000446983,None,4,0,16,3,28.45135589997517,,,,,28.436394299962558,29.433526999957394,29.433526999957394,29.734019799972884,30.03459459997248,r,0.5953994000446983,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,blue,incongruent,b,17,1,4,b,0.6719082000199705,None,4,1,17,2,30.049432899977546,,,,,30.038307099952362,31.033343799994327,31.033343799994327,31.33314000000246,31.718396899988875,b,0.6719082000199705,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,red,congruent,r,18,2,4,r,0.6310640000156127,None,4,2,18,0,31.733319299994037,,,,,31.719429299992044,32.73371179995593,32.73371179995593,33.04988679999951,33.36852869996801,r,0.6310640000156127,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,blue,congruent,b,19,3,4,b,0.4505422000074759,None,4,3,19,1,33.3814225999522,,,,,33.37318789999699,34.382652100000996,34.382652100000996,34.69853140000487,34.83660019998206,b,0.4505422000074759,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,blue,congruent,b,20,0,5,r,0.3855645000003278,None,5,0,20,1,34.84798329998739,,,,,34.83767179999268,35.8484494999866,35.8484494999866,36.14853199996287,36.249482599960174,r,0.3855645000003278,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,blue,incongruent,b,21,1,5,b,0.4455399000435136,None,5,1,21,2,36.26406610000413,,,,,36.25329449999845,37.265074599999934,37.265074599999934,37.564834199962206,37.71437329996843,b,0.4455399000435136,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,red,incongruent,r,22,2,5,r,0.3481702000135556,None,5,2,22,3,37.730294599954505,,,,,37.71910589997424,38.730324500007555,38.730324500007555,39.02994499995839,39.08189479995053,r,0.3481702000135556,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
