word,font_color,con_label,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,text_2.started,Welcome.stopped,trial.started,text.started,key_resp.started,text.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,Thanks.started,text_3.started,text_3.stopped,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.04254709999077022,0.055954999988898635,1.0051586999907158,,,,,,,,,,,,,2,001,2025-08-24_12h24.57.572,Stroop Task,,2025.1.1,60.236609401185255,2025-08-24 12h25.05.606041 +0530,
RED,red,congruent,r,0,0,0,r,0.5878015999915078,None,0,0,0,0,1.0369988000020385,,,,,1.0248279999941587,2.0045564000029117,2.0045564000029117,2.3045514000114053,2.6131802999880165,r,0.5878015999915078,None,,,,,2,001,2025-08-24_12h24.57.572,Stroop Task,,2025.1.1,60.236609401185255,2025-08-24 12h25.05.606041 +0530,
BLUE,blue,congruent,b,1,1,0,b,0.37170010001864284,None,0,1,1,1,2.636614700022619,,,,,2.621208700002171,3.6213772000046447,3.6213772000046447,3.9205617000116035,4.003415399987716,b,0.37170010001864284,None,,,,,2,001,2025-08-24_12h24.57.572,Stroop Task,,2025.1.1,60.236609401185255,2025-08-24 12h25.05.606041 +0530,
BLUE,red,incongruent,r,2,2,0,r,0.6554466999950819,None,0,2,2,3,4.019407799991313,,,,,4.0041324000339955,5.003585900005419,5.003585900005419,5.303153500019107,5.6710486999945715,r,0.6554466999950819,None,,,,,2,001,2025-08-24_12h24.57.572,Stroop Task,,2025.1.1,60.236609401185255,2025-08-24 12h25.05.606041 +0530,
RED,blue,incongruent,b,3,3,0,b,0.2875648000044748,None,0,3,3,2,5.686802099982742,,,,,5.675410600029863,6.686263800016604,6.686263800016604,6.986154499987606,6.986768200004008,b,0.2875648000044748,None,,,,,2,001,2025-08-24_12h24.57.572,Stroop Task,,2025.1.1,60.236609401185255,2025-08-24 12h25.05.606041 +0530,
RED,red,congruent,r,4,0,1,r,0.4816167000099085,None,1,0,4,0,7.003087199991569,,,,,6.987568399985321,7.986044800025411,7.986044800025411,8.286324799992144,8.471183600020595,r,0.4816167000099085,None,,,,,2,001,2025-08-24_12h24.57.572,Stroop Task,,2025.1.1,60.236609401185255,2025-08-24 12h25.05.606041 +0530,
BLUE,blue,congruent,b,5,1,1,b,0.37034180003684014,None,1,1,5,1,8.48696160002146,,,,,8.477810800017323,9.48655760003021,9.48655760003021,9.805654800031334,9.872281100018881,b,0.37034180003684014,None,,,,,2,001,2025-08-24_12h24.57.572,Stroop Task,,2025.1.1,60.236609401185255,2025-08-24 12h25.05.606041 +0530,
RED,blue,incongruent,b,6,2,1,b,0.7388238999992609,None,1,2,6,2,9.902853600040544,,,,,9.880770699994173,10.884221100015566,10.884221100015566,11.185368600010406,11.635467000014614,b,0.7388238999992609,None,,,,,2,001,2025-08-24_12h24.57.572,Stroop Task,,2025.1.1,60.236609401185255,2025-08-24 12h25.05.606041 +0530,
BLUE,red,incongruent,r,7,3,1,r,0.2813227999722585,None,1,3,7,3,11.651660300034564,,,,,11.638179100002162,12.634285799984355,12.634285799984355,12.937264500011224,12.922230900032446,r,0.2813227999722585,None,,,,,2,001,2025-08-24_12h24.57.572,Stroop Task,,2025.1.1,60.236609401185255,2025-08-24 12h25.05.606041 +0530,
BLUE,red,incongruent,r,8,0,2,b,0.47037779999664053,None,2,0,8,3,12.937264500011224,,,,,12.923690600029659,13.934965100022964,13.934965100022964,14.23461749998387,14.417559000023175,b,0.47037779999664053,None,,,,,2,001,2025-08-24_12h24.57.572,Stroop Task,,2025.1.1,60.236609401185255,2025-08-24 12h25.05.606041 +0530,
BLUE,blue,congruent,b,9,1,2,r,0.2677267999970354,None,2,1,9,1,14.433774400036782,,,,,14.418098699999973,15.417256799992174,15.417256799992174,15.717652200022712,15.7017108,r,0.2677267999970354,None,,,,,2,001,2025-08-24_12h24.57.572,Stroop Task,,2025.1.1,60.236609401185255,2025-08-24 12h25.05.606041 +0530,
RED,blue,incongruent,b,10,2,2,b,0.25775940000312403,None,2,2,10,2,15.717652200022712,,,,,15.70703940000385,16.715804899984505,16.715804899984505,,16.98363370000152,b,0.25775940000312403,None,,,,,2,001,2025-08-24_12h24.57.572,Stroop Task,,2025.1.1,60.236609401185255,2025-08-24 12h25.05.606041 +0530,
RED,red,congruent,r,11,3,2,r,0.43616619997192174,None,2,3,11,0,16.9996012999909,,,,,16.984442399989348,17.999126200040337,17.999126200040337,18.30047379998723,18.449187399994116,r,0.43616619997192174,None,,,,,2,001,2025-08-24_12h24.57.572,Stroop Task,,2025.1.1,60.236609401185255,2025-08-24 12h25.05.606041 +0530,
RED,red,congruent,r,12,0,3,b,0.32197019999148324,None,3,0,12,0,18.46610459999647,,,,,18.449696300027426,19.448746300011408,19.448746300011408,19.74824530002661,19.782890400034375,b,0.32197019999148324,None,,,,,2,001,2025-08-24_12h24.57.572,Stroop Task,,2025.1.1,60.236609401185255,2025-08-24 12h25.05.606041 +0530,
BLUE,blue,congruent,b,13,1,3,r,0.463882600015495,None,3,1,13,1,19.798933700018097,,,,,19.787454700039234,20.79892169998493,20.79892169998493,21.09866110002622,21.26553590002004,r,0.463882600015495,None,,,,,2,001,2025-08-24_12h24.57.572,Stroop Task,,2025.1.1,60.236609401185255,2025-08-24 12h25.05.606041 +0530,
