reward_today,future_reward,delay,key_resp.keys,DISCOUNTING,,,,
22,44,9,l,0.111111111,,,,
50,100,23,l,0.043478261,,,,
55,80,75,l,0.006060606,,,,
12,24,4,l,0.25,,,,
48,96,22,l,0.045454545,,,,
84,120,145,l,0.002955665,,,,
32,64,14,l,0.071428571,,,,
45,72,55,l,0.010909091,,,,
42,84,19,l,0.052631579,,,geomean,0.01031014
30,60,13,l,0.076923077,,,,
92,140,165,l,0.003162055,,,,
62,130,29,l,0.0378198,,,,
53,78,70,l,0.006738544,,,,
96,150,175,l,0.003214286,,,,
106,240,51,l,0.024787273,,,,
100,225,48,l,0.026041667,,,,
34,68,15,l,0.066666667,,,,
54,110,25,l,0.041481481,,,,
14,28,5,l,0.2,,,,
84,185,40,l,0.030059524,,,,
20,40,8,l,0.125,,,,
28,48,20,l,0.035714286,,,,
11,30,7,l,0.246753247,,,,
76,165,36,l,0.03252924,,,,
102,230,49,l,0.025610244,,,,
56,115,26,l,0.040521978,,,,
47,74,60,l,0.009574468,,,,
94,210,45,l,0.027423168,,,,
66,90,100,l,0.003636364,,,,
52,105,24,l,0.042467949,,,,
114,260,55,l,0.023285486,,,,
90,200,43,l,0.028423773,,,,
33,55,30,l,0.022222222,,,,
92,205,44,l,0.02791502,,,,
40,80,18,l,0.055555556,,,,
58,120,27,l,0.039591315,,,,
70,150,33,l,0.034632035,,,,
60,125,28,l,0.038690476,,,,
72,155,34,l,0.033905229,,,,
35,60,35,l,0.020408163,,,,
27,50,21,l,0.040564374,,,,
90,135,160,l,0.003125,,,,
98,220,47,l,0.026487191,,,,
24,48,10,l,0.1,,,,
37,65,40,l,0.018918919,,,,
16,32,6,l,0.166666667,,,,
112,255,54,l,0.02364418,,,,
96,215,46,l,0.026947464,,,,
38,76,17,l,0.058823529,,,,
66,140,31,l,0.036168133,,,,
46,92,21,l,0.047619048,,,,
18,36,7,l,0.142857143,,,,
12,25,5,l,0.216666667,,,,
116,265,56,l,0.022937192,,,,
20,38,12,l,0.075,,,,
30,52,25,l,0.029333333,,,,
86,190,41,l,0.029495179,,,,
36,72,16,l,0.0625,,,,
26,52,11,l,0.090909091,,,,
98,155,180,l,0.003231293,,,,
68,145,32,l,0.035386029,,,,
94,145,170,l,0.003191489,,,,
82,180,39,l,0.030644153,,,,
74,160,35,l,0.033204633,,,,
18,32,9,l,0.086419753,,,,
28,56,12,l,0.083333333,,,,
104,235,50,l,0.025192308,,,,
118,270,57,l,0.02259887,,,,
110,250,53,l,0.024013722,,,,
25,45,16,l,0.05,,,,
15,35,13,l,0.102564103,,,,
88,195,42,l,0.028950216,,,,
78,170,37,l,0.031878032,,,,
42,70,50,l,0.013333333,,,,
39,68,45,l,0.016524217,,,,
80,175,38,l,0.03125,,,,
108,245,52,l,0.024394587,,,,
44,88,20,l,0.05,,,,
10,20,3,l,0.333333333,,,,
64,135,30,l,0.036979167,,,,
82,115,140,t,0.002874564,0.010310141,,,
64,88,95,t,0.003947368,,,,
72,96,115,t,0.002898551,,,,
74,98,120,t,0.002702703,,,,
58,82,80,t,0.005172414,,,,
76,100,125,t,0.002526316,,,,
68,92,105,t,0.003361345,,,,
78,105,130,t,0.002662722,,,,
88,130,155,t,0.003079179,,,,
100,160,185,t,0.003243243,,,,
67,75,119,t,0.001003386,,,,
60,84,85,t,0.004705882,,,,
40,55,62,t,0.006048387,,,,
70,94,110,t,0.003116883,,,,
78,80,162,t,0.000158278,,,,
80,110,135,t,0.002777778,,,,
62,86,90,t,0.004301075,,,,
50,76,65,t,0.008,,,,
86,125,150,t,0.003023256,,,,
49,60,89,t,0.002522357,,,,
