reward_today,future_reward,delay,key_resp.keys,discounting,,,
14,28,5,l,0.2,,,
42,84,19,l,0.052631579,,,
12,24,4,l,0.25,,,
32,64,14,l,0.071428571,,,
78,170,37,l,0.031878032,,,
39,68,45,l,0.016524217,,,
100,225,48,l,0.026041667,,geomean,0.036325312
114,260,55,l,0.023285486,,,
30,60,13,l,0.076923077,,,
110,250,53,l,0.024013722,,,
86,190,41,l,0.029495179,,,
94,210,45,l,0.027423168,,,
56,115,26,l,0.040521978,,,
118,270,57,l,0.02259887,,,
28,48,20,l,0.035714286,,,
74,98,120,l,0.002702703,,,
116,265,56,l,0.022937192,,,
44,88,20,l,0.05,,,
68,145,32,l,0.035386029,,,
64,88,95,l,0.003947368,,,
72,155,34,l,0.033905229,,,
22,44,9,l,0.111111111,,,
96,150,175,l,0.003214286,,,
70,150,33,l,0.034632035,,,
18,32,9,l,0.086419753,,,
16,32,6,l,0.166666667,,,
28,56,12,l,0.083333333,,,
82,180,39,l,0.030644153,,,
90,200,43,l,0.028423773,,,
18,36,7,l,0.142857143,,,
36,72,16,l,0.0625,,,
96,215,46,l,0.026947464,,,
24,48,10,l,0.1,,,
78,105,130,l,0.002662722,,,
62,86,90,l,0.004301075,,,
12,25,5,l,0.216666667,,,
53,78,70,l,0.006738544,,,
40,55,62,l,0.006048387,,,
26,52,11,l,0.090909091,,,
45,72,55,l,0.010909091,,,
58,120,27,l,0.039591315,,,
11,30,7,l,0.246753247,,,
104,235,50,l,0.025192308,,,
84,120,145,l,0.002955665,,,
62,130,29,l,0.0378198,,,
98,220,47,l,0.026487191,,,
106,240,51,l,0.024787273,,,
54,110,25,l,0.041481481,,,
60,125,28,l,0.038690476,,,
50,100,23,l,0.043478261,,,
112,255,54,l,0.02364418,,,
10,20,3,l,0.333333333,,,
27,50,21,l,0.040564374,,,
76,165,36,t,0.03252924,0.036325312,,
25,45,16,t,0.05,,,
58,82,80,t,0.005172414,,,
92,205,44,t,0.02791502,,,
49,60,89,t,0.002522357,,,
42,70,50,t,0.013333333,,,
78,80,162,t,0.000158278,,,
88,195,42,t,0.028950216,,,
60,84,85,t,0.004705882,,,
55,80,75,t,0.006060606,,,
80,175,38,t,0.03125,,,
47,74,60,t,0.009574468,,,
52,105,24,t,0.042467949,,,
72,96,115,t,0.002898551,,,
76,100,125,t,0.002526316,,,
15,35,13,t,0.102564103,,,
20,40,8,t,0.125,,,
67,75,119,t,0.001003386,,,
90,135,160,t,0.003125,,,
48,96,22,t,0.045454545,,,
102,230,49,t,0.025610244,,,
108,245,52,t,0.024394587,,,
38,76,17,t,0.058823529,,,
86,125,150,t,0.003023256,,,
80,110,135,t,0.002777778,,,
100,160,185,t,0.003243243,,,
68,92,105,t,0.003361345,,,
82,115,140,t,0.002874564,,,
30,52,25,t,0.029333333,,,
33,55,30,t,0.022222222,,,
94,145,170,t,0.003191489,,,
74,160,35,t,0.033204633,,,
37,65,40,t,0.018918919,,,
88,130,155,t,0.003079179,,,
92,140,165,t,0.003162055,,,
20,38,12,t,0.075,,,
34,68,15,t,0.066666667,,,
66,90,100,t,0.003636364,,,
98,155,180,t,0.003231293,,,
40,80,18,t,0.055555556,,,
46,92,21,t,0.047619048,,,
50,76,65,t,0.008,,,
70,94,110,t,0.003116883,,,
64,135,30,t,0.036979167,,,
66,140,31,t,0.036168133,,,
84,185,40,t,0.030059524,,,
35,60,35,t,0.020408163,,,
,,,,0.043779954,,,
